Citympg,price,Horsepower,Classification,Driveline,EngineType,FuelType,Height,Highwaympg,Hybrid,ID,Length,Make,ModelYear,NumberofForwardGears,Torque,Transmission,Width,Year
21,11000,211,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,147,27,FALSE,2009 Audi A4 Sedan 2.0 T Quattro AT,96,Audi,2009 Audi A4 Sedan,6,258,6 Speed Automatic Select Shift,34,2009
17,12000,265,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,147,26,FALSE,2009 Audi A4 Sedan 3.2,96,Audi,2009 Audi A4 Sedan,6,243,6 Speed Automatic Select Shift,34,2009
20,13000,280,Automatic transmission,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,Gasoline,172,29,FALSE,2012 Acura TL,63,Acura,2012 Acura TL,6,254,6 Speed Automatic Select Shift,87,2012
18,14000,305,Automatic transmission,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,Gasoline,172,26,FALSE,2012 Acura TL SH-AWD,63,Acura,2012 Acura TL,6,273,6 Speed Automatic Select Shift,87,2012
12,15000,555,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,226,17,FALSE,2010 BMW X5 M SUV,243,BMW,2010 BMW X5,6,500,6 Speed Automatic Select Shift,201,2010
12,16000,555,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,226,17,FALSE,2011 BMW X5 M SUV,243,BMW,2011 BMW X5,6,500,6 Speed Automatic Select Shift,201,2011
12,17000,555,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,148,17,FALSE,2010 BMW X6 M,12,BMW,2010 BMW X6,6,500,6 Speed Automatic Select Shift,191,2010
12,18000,555,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,148,17,FALSE,2011 BMW X6 M,12,BMW,2011 BMW X6,6,500,6 Speed Automatic Select Shift,191,2011
18,19000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,FALSE,2012 Chevrolet Colorado Work Truck,22,Chevrolet,2012 Chevrolet Colorado,5,190,5 Speed Manual,181,2012
18,20000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,FALSE,2012 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2012 Chevrolet Colorado,5,190,5 Speed Manual,181,2012
18,21000,185,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,FALSE,2012 Chevrolet Colorado Crew Cab 1LT,140,Chevrolet,2012 Chevrolet Colorado,4,190,4 Speed Automatic,181,2012
18,22000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,FALSE,2011 Chevrolet Colorado Work Truck,22,Chevrolet,2011 Chevrolet Colorado,5,190,5 Speed Manual,181,2011
18,23000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,FALSE,2011 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2011 Chevrolet Colorado,5,190,5 Speed Manual,181,2011
18,24000,185,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,FALSE,2011 Chevrolet Colorado Crew Cab 1LT,140,Chevrolet,2011 Chevrolet Colorado,4,190,4 Speed Automatic,181,2011
18,25000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,FALSE,2010 Chevrolet Colorado Work Truck,22,Chevrolet,2010 Chevrolet Colorado,5,190,5 Speed Manual,181,2010
20,26000,185,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,26,FALSE,2010 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2010 Chevrolet Colorado,5,190,5 Speed Manual,181,2010
18,27000,185,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,FALSE,2010 Chevrolet Colorado Crew Cab LT1,140,Chevrolet,2010 Chevrolet Colorado,4,190,4 Speed Automatic,181,2010
13,28000,310,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,18,FALSE,2012 Chevrolet Express LS 1500,60,Chevrolet,2012 Chevrolet Express,4,334,4 Speed Automatic,219,2012
9,29000,310,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,77,12,FALSE,2012 Chevrolet Express LS 1500 AWD,60,Chevrolet,2012 Chevrolet Express,4,334,4 Speed Automatic,219,2012
13,30000,310,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,17,FALSE,2011 Chevrolet Express LS 1500,60,Chevrolet,2011 Chevrolet Express,4,334,4 Speed Automatic,219,2011
13,31000,310,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,17,FALSE,2011 Chevrolet Express LS 1500 AWD,60,Chevrolet,2011 Chevrolet Express,4,334,4 Speed Automatic,219,2011
8,32000,280,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,E85,22,12,FALSE,2011 Chevrolet Express LS 2500,60,Chevrolet,2011 Chevrolet Express,6,295,6 Speed Automatic,219,2011
8,33000,324,Automatic transmission,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,E85,22,12,FALSE,2011 Chevrolet Express LS 2500 6.0L,60,Chevrolet,2011 Chevrolet Express,6,373,6 Speed Automatic,219,2011
10,34000,310,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,24,13,FALSE,2010 Chevrolet Express LS 1500,60,Chevrolet,2010 Chevrolet Express,4,334,4 Speed Automatic,224,2010
13,35000,310,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,24,17,FALSE,2010 Chevrolet Express LS 1500 AWD,60,Chevrolet,2010 Chevrolet Express,4,334,4 Speed Automatic,224,2010
15,36000,195,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,FALSE,2011 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2011 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2011
14,37000,302,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,FALSE,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2011 Chevrolet Silverado 1500,4,305,4 Speed Automatic,240,2011
15,38000,195,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,FALSE,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2011 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2011
15,39000,195,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,FALSE,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2010 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2010
15,40000,195,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,FALSE,2010 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2010 Chevrolet Silverado 1500,4,260,4 Speed Automatic,237,2010
14,41000,302,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,FALSE,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2010 Chevrolet Silverado 1500,4,305,4 Speed Automatic,240,2010
18,42000,350,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,43,26,FALSE,2011 Nissan 370Z NISMO,52,Nissan,2011 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2011
18,43000,350,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,FALSE,2010 Nissan 370Z NISMO,75,Nissan,2010 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2010
18,44000,350,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,FALSE,2009 Nissan 370Z NISMO,75,Nissan,2009 Nissan 370Z Coupe,6,276,6 Speed Manual,52,2009
21,45000,227,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,FALSE,2011 Volvo C30 T5,168,Volvo,2011 Volvo C30,6,236,6 Speed Manual,247,2011
21,46000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,FALSE,2011 Volvo C30 T5 AT,168,Volvo,2011 Volvo C30,5,236,5 Speed Automatic,247,2011
21,47000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,FALSE,2010 Volvo C30 T5 AT,155,Volvo,2010 Volvo C30,5,236,5 Speed Automatic,247,2010
21,48000,227,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,FALSE,2010 Volvo C30 T5,155,Volvo,2010 Volvo C30,6,236,6 Speed Manual,247,2010
9,49000,530,Automatic transmission,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,Gasoline,193,15,FALSE,2010 Bentley Brooklands,34,Bentley,2010 Bentley Brooklands,6,774,6 Speed Automatic,107,2010
8,50000,621,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,FALSE,2012 Bentley Continental Supersports Convertible,195,Bentley,2012 Bentley Continental Supersports Convertible,6,590,6 Speed Automatic,153,2012
8,51000,621,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,110,14,FALSE,2012 Bentley Continental Supersports Coupe,199,Bentley,2012 Bentley Continental Supersports Coupe,6,590,6 Speed Automatic Select Shift,153,2012
8,52000,621,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,FALSE,2011 Bentley Continental Supersports Convertible,195,Bentley,2011 Bentley Continental Supersports Convertible,6,590,6 Speed Automatic,153,2011
12,53000,621,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,Gasoline,99,19,FALSE,2010 Bentley Continental Supersports,195,Bentley,2010 Bentley Continental Supersports,6,590,6 Speed Automatic,153,2010
8,54000,552,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,E85,118,13,FALSE,2012 Bentley Continental Flying Spur,170,Bentley,2012 Bentley Continental Flying Spur,6,479,6 Speed Automatic,184,2012
11,55000,600,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,108,19,FALSE,2012 Bentley Continental Flying Spur Speed,170,Bentley,2012 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2012
10,56000,600,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,185,17,FALSE,2011 Bentley Continental Flying Spur Speed,170,Bentley,2011 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2011
10,57000,600,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,Gasoline,185,17,FALSE,2010 Bentley Continental Flying Spur Speed,170,Bentley,2010 Bentley Continental Flying Spur,6,553,6 Speed Automatic,184,2010
10,58000,552,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,Gasoline,195,17,FALSE,2010 Bentley Continental Flying Spur,170,Bentley,2010 Bentley Continental Flying Spur,6,479,6 Speed Automatic,184,2010
19,59000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,120,28,FALSE,2011 Volvo C70 T5,7,Volvo,2011 Volvo C70,5,236,5 Speed Automatic,44,2011
20,60000,227,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,FALSE,2010 Volvo C70 T5,230,Volvo,2010 Volvo C70,6,236,6 Speed Manual,44,2010
19,61000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,FALSE,2010 Volvo C70 T5 AT,230,Volvo,2010 Volvo C70,5,236,5 Speed Automatic,44,2010
21,62000,168,Manual transmission,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,172,29,FALSE,2010 Volvo S40 2.4i,123,Volvo,2010 Volvo S40,5,170,5 Speed Manual,234,2010
21,63000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,FALSE,2010 Volvo S40 R-Design,123,Volvo,2010 Volvo S40,5,236,5 Speed Automatic,234,2010
21,64000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,FALSE,2011 Volvo S40 T5,123,Volvo,2011 Volvo S40,5,236,5 Speed Automatic,234,2011
20,65000,227,Manual transmission,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,190,27,FALSE,2010 Volvo S40 R-Design AWD,123,Volvo,2010 Volvo S40,6,236,6 Speed Manual,234,2010
20,66000,250,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,Gasoline,203,30,FALSE,2012 Volvo S60 T5,19,Volvo,2012 Volvo S60,6,266,6 Speed Automatic Select Shift,72,2012
18,67000,300,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,FALSE,2012 Volvo S60 T6 AWD,19,Volvo,2012 Volvo S60,6,325,6 Speed Automatic Select Shift,72,2012
18,68000,325,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,Gasoline,203,26,FALSE,2012 Volvo S60 R-Design,19,Volvo,2012 Volvo S60,6,354,6 Speed Automatic Select Shift,72,2012
18,69000,300,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,FALSE,2011 Volvo S60 T6 AWD,14,Volvo,2011 Volvo S60,6,325,6 Speed Automatic,72,2011
19,70000,240,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,213,27,FALSE,2011 Volvo S80 3.2,243,Volvo,2011 Volvo S80,6,236,6 Speed Automatic Select Shift,69,2011
15,71000,311,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,213,22,FALSE,2010 Volvo S80 V8,243,Volvo,2010 Volvo S80,6,325,6 Speed Automatic,69,2010
16,72000,281,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,213,24,FALSE,2010 Volvo S80 T6 AWD,243,Volvo,2010 Volvo S80,6,295,6 Speed Automatic Select Shift,69,2010
18,73000,235,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,213,27,FALSE,2010 Volvo S80 3.2,243,Volvo,2010 Volvo S80,6,236,6 Speed Automatic,69,2010
21,74000,227,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,177,30,FALSE,2011 Volvo V50 T5,169,Volvo,2011 Volvo V50,5,236,5 Speed Automatic,234,2011
20,75000,227,Manual transmission,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,193,26,FALSE,2010 Volvo V50 R-Design,169,Volvo,2010 Volvo V50,6,236,6 Speed Manual,234,2010
20,76000,168,Automatic transmission,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,177,31,FALSE,2010 Volvo V50 2.4i,169,Volvo,2010 Volvo V50,5,170,5 Speed Automatic Select Shift,234,2010
17,77000,300,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,175,22,FALSE,2011 Volvo XC60 T6 AWD,19,Volvo,2011 Volvo XC60,6,325,6 Speed Automatic,97,2011
18,78000,240,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,175,25,FALSE,2011 Volvo XC60 3.2,19,Volvo,2011 Volvo XC60,6,236,6 Speed Automatic,97,2011
16,79000,281,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,175,21,FALSE,2010 Volvo XC60 T6 AWD,19,Volvo,2010 Volvo XC60,6,295,6 Speed Automatic Select Shift,97,2010
18,80000,235,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,175,27,FALSE,2010 Volvo XC60 3.2,19,Volvo,2010 Volvo XC60,6,236,6 Speed Automatic,97,2010
18,81000,240,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,66,25,FALSE,2011 Volvo XC70 3.2,230,Volvo,2011 Volvo XC70,6,236,6 Speed Automatic,69,2011
17,82000,300,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,66,22,FALSE,2011 Volvo XC70 T6 AWD,230,Volvo,2011 Volvo XC70,6,325,6 Speed Automatic,69,2011
16,83000,281,Automatic transmission,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,66,21,FALSE,2010 Volvo XC70 T6 AWD,230,Volvo,2010 Volvo XC70,6,295,6 Speed Automatic,69,2010
16,84000,235,Automatic transmission,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,66,22,FALSE,2010 Volvo XC70 3.2,230,Volvo,2010 Volvo XC70,6,236,6 Speed Automatic,69,2010
17,85000,270,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,FALSE,2011 Toyota 4Runner SR5,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,86000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,FALSE,2011 Toyota 4Runner SR5 4WD,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,24,2011
17,87000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,93,22,FALSE,2011 Toyota 4Runner Trail,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,88000,270,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,FALSE,2011 Toyota 4Runner Limited,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
17,89000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,FALSE,2011 Toyota 4Runner  Limited 4WD,216,Toyota,2011 Toyota 4Runner,5,278,5 Speed Automatic,133,2011
16,90000,240,Automatic transmission,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,247,22,FALSE,2011 Volvo XC90 3.2,200,Volvo,2011 Volvo XC90,6,236,6 Speed Automatic,105,2011
14,91000,311,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,247,21,FALSE,2011 Volvo XC90 V8,200,Volvo,2011 Volvo XC90,6,325,6 Speed Automatic,105,2011
15,92000,235,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,247,22,FALSE,2010 Volvo XC90 3.2,200,Volvo,2010 Volvo XC90,6,236,6 Speed Automatic,105,2010
13,93000,311,Automatic transmission,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,247,19,FALSE,2010 Volvo XC90 V8,200,Volvo,2010 Volvo XC90,6,325,6 Speed Automatic,105,2010
18,94000,235,Automatic transmission,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,10,27,FALSE,2010 Volvo V70 3.2,215,Volvo,2010 Volvo V70,6,236,6 Speed Automatic,69,2010
18,95000,157,Automatic transmission,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,Gasoline,24,23,FALSE,2010 Toyota 4Runner SR5,216,Toyota,2010 Toyota 4Runner,4,178,4 Speed Automatic,133,2010
17,96000,270,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,FALSE,2010 Toyota 4Runner SR5 V6,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,97000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,FALSE,2010 Toyota 4Runner SR5 V6 4WD,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,98000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,93,22,FALSE,2010 Toyota 4Runner Trail,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,99000,270,Automatic transmission,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,23,FALSE,2010 Toyota 4Runner Limited,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
17,100000,270,Automatic transmission,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,24,22,FALSE,2010 Toyota 4Runner Limited 4WD,216,Toyota,2010 Toyota 4Runner,5,278,5 Speed Automatic,133,2010
21,101000,200,Manual transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,143,30,FALSE,2012 Audi A3 2.0 T,196,Audi,2012 Audi A3,6,207,6 Speed Manual,203,2012
17,102000,271,Manual transmission,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,152,25,FALSE,2010 Honda Accord EX-L V-6 Coup,240,Honda,2010 Honda Accord Coupe,6,251,6 Speed Manual,57,2010
21,103000,190,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,FALSE,2010 Honda Accord EX Coup AT,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Automatic,57,2010
22,104000,190,Manual transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,FALSE,2010 Honda Accord EX-L Coup,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Manual,57,2010
21,105000,190,Automatic transmission,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,152,31,FALSE,2010 Honda Accord EX-L Coup AT,240,Honda,2010 Honda Accord Coupe,5,162,5 Speed Automatic,57,2010
19,106000,271,Automatic transmission,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,152,28,FALSE,2010 Honda Accord EX-L V-6 Coup AT,240,Honda,2010 Honda Accord Coupe,5,251,5 Speed Automatic,57,2010
